AQSID,DataSource,GMTOffset,LocalTimeString,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_Measured,PM25_Unit,SiteName,Status,ValidTime,ObjectId,MonitorType,x,y
840270072305,Minnesota Pollution Control Agency,-6,2024-11-08 17:00:00 GMT-6,,,ND,-999,,1,,,,0,,,,0,,Red Lake Nation DNR,Active,1731106800000,632835158,Permanent,-10577201.755297974,6086856.186256768
420859991,EPA Office of Atmospheric Protection,-5,2024-11-08 18:00:00 GMT-5,32,31,31,31,31,1,PPB,,,0,,,,0,,M.K. Goddard,Active,1731106800000,632835159,Permanent,-8921711.72157599,5075544.39900185
320030540,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,24,20,20,20,20,1,PPB,17,17,1,UG/M3,2.9,18,1,UG/M3,Jerome Mack,Active,1731106800000,632835160,Permanent,-12810506.960570505,4320160.754707591
840270135510,Minnesota Pollution Control Agency,-6,2024-11-08 17:00:00 GMT-6,,29,29,29,,1,,,,0,,5.1,29,1,UG/M3,Mankato - RosaParksElementary,Active,1731106800000,632835161,Permanent,-10461920.403827367,5486542.145137426
420890002,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,35,29,29,29,29,1,PPB,,,0,,,,0,,Swiftwater,Active,1731106800000,632835162,Permanent,-8385507.99832295,5024606.48486955
320030561,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,17,17,17,,0,,14,15,1,UG/M3,2.8,17,1,UG/M3,Sunrise Acres,Active,1731106800000,632835163,Permanent,-12814424.070812538,4323205.807360621
840300010003,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,0,0,0,,0,,,,0,,-2.5,0,1,UG/M3,Dillon,Active,1731106800000,632835164,Permanent,-12539307.745432151,5654081.264013056
840300170005,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,34,27,27,27,27,1,PPB,,,1,,1.4,11,1,UG/M3,Miles City,Active,1731106800000,632835165,Permanent,-11779015.215544473,5846530.353626623
320030602,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,36,30,30,30,30,1,PPB,6,6,1,UG/M3,1.3,8,1,UG/M3,Garrett Jr. High,Active,1731106800000,632835166,Permanent,-12783374.504482007,4296473.296097916
840300210005,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,18,18,18,,0,,,,0,,6.2,18,1,UG/M3,Glendive,Active,1731106800000,632835167,Permanent,-11660903.67733994,5961800.95789175
420910013,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,40,35,35,35,35,1,PPB,,,0,,2.7,16,1,UG/M3,Norristown,Active,1731106800000,632835168,Permanent,-8383381.796048798,4882260.298514169
320031019,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,38,31,31,31,31,1,PPB,5,6,1,UG/M3,1.5,9,1,UG/M3,Jean,Active,1731106800000,632835169,Permanent,-12841492.184235359,4271169.143755683
840300350022,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,8,8,8,,0,,,,0,,1.2,8,1,UG/M3,Cut Bank,Active,1731106800000,632835170,Permanent,-12508285.675015846,6208507.061239244
420950025,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,35,31,31,31,31,1,PPB,,,0,,2.9,16,1,UG/M3,Freemansburg,Active,1731106800000,632835171,Permanent,-8386932.887805102,4957640.294928171
320031501,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,36,36,36,,0,,,,0,,7.8,36,1,UG/M3,RT,Active,1731106800000,632835172,Permanent,-12821295.155062262,4319861.906813524
840300410002,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,3,3,3,,0,,,,0,,-0.4,3,1,UG/M3,Havre,Active,1731106800000,632835173,Permanent,-12210015.118189441,6197229.134883356
320031502,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,1,,Casino Center,Active,1731106800000,632835175,Permanent,-12817300.566454636,4324640.327541227
840300990005,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,3,3,3,,0,,,,0,,0.3,3,1,UG/M3,Choteau,Active,1731106800000,632835176,Permanent,-12489337.761848941,6077012.382227436
320032003,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,33,26,26,26,26,1,PPB,25,24,1,UG/M3,3.9,22,1,UG/M3,Walnut Rec.,Active,1731106800000,632835178,Permanent,-12811920.161506126,4330171.694178875
421010004,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,33,33,33,33,33,1,PPB,,,0,,,,1,,LABP,Active,1731106800000,632835179,Permanent,-8359845.5161103755,4867238.594272115
320037771,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Spring Mountain Youth Camp,Active,1731106800000,632835180,Permanent,-12866760.484131033,4344522.87381368
421010024,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,36,34,34,34,34,1,PPB,,,0,,,,0,,NEA,Active,1731106800000,632835181,Permanent,-8350164.059996085,4877094.382421328
840301050003,Montana DEQ,-7,2024-11-08 16:00:00 GMT-7,,22,22,22,,0,,,,0,,4.7,22,1,UG/M3,Glasgow,Active,1731106800000,632835182,Permanent,-11871281.930210516,6142161.747486786
320037772,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Indian Springs,Active,1731106800000,632835183,Permanent,-12877065.885991221,4379246.16814413
421010048,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,34,32,32,32,32,1,PPB,23,25,1,UG/M3,3.4,19,1,UG/M3,NEW,Active,1731106800000,632835184,Permanent,-8357960.09789481,4864691.031340676
840310550052,Douglas County Health Department (Omaha),-6,2024-11-08 17:00:00 GMT-6,,57,57,57,,0,,,,0,,,57,1,,92nd and Berry,Active,1731106800000,632835185,Permanent,-10692966.233358622,5041598.028717473
320038000,Quality Review and Exchange System for Tribes (QREST),-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,1,,,,1,,,,1,,Las Vegas Paiute,Active,1731106800000,632835186,Permanent,-12841971.08068475,4349963.40704012
421010055,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,,23,23,23,,0,,,,0,,3.9,23,1,UG/M3,RIT,Active,1731106800000,632835187,Permanent,-8369754.397944358,4854688.896080935
840310550054,Douglas County Health Department (Omaha),-6,2024-11-08 17:00:00 GMT-6,,44,44,44,,0,,,44,1,,,,0,,701 Florence Bld,Active,1731106800000,632835188,Permanent,-10680057.625206234,5051663.534193045
320050007,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,9,9,9,,0,,,,0,,2,9,1,UG/M3,Ranchos,Active,1731106800000,632835189,Permanent,-13328516.514928801,4707015.820712241
421010057,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,,21,21,21,,0,,,,0,,3.8,21,1,UG/M3,FAB,Active,1731106800000,632835190,Permanent,-8364813.70498448,4860174.859686255
320070005,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,0,,Elko,Active,1731106800000,632835194,Permanent,-12887012.50513258,4988524.394940622
840311079992,EPA Office of Atmospheric Protection,-6,2024-11-08 17:00:00 GMT-6,26,23,23,23,23,1,PPB,,,0,,,,0,,Santee Sioux - Environmental Office,Active,1731106800000,632835195,Permanent,-10901320.697886577,5273615.8883106345
421010075,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,,22,22,22,,0,,,,0,,4,22,1,UG/M3,TOR,Active,1731106800000,632835196,Permanent,-8347310.496169091,4873817.386986435
320190006,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,39,35,35,35,35,1,PPB,,,0,,,,0,,Fernley,Active,1731106800000,632835197,Permanent,-13274610.274151139,4808380.216583311
421010076,Philadelphia Air Management Services,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,0,,,,0,,,,1,,MON,Active,1731106800000,632835199,Permanent,-8372027.7645853385,4864320.961807268
320192012,Quality Review and Exchange System for Tribes (QREST),-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,0,,YPT Campbell Ranch,Active,1731106800000,632835200,Permanent,-13269773.108317701,4730704.535004654
840311770002,Douglas County Health Department (Omaha),-6,2024-11-08 17:00:00 GMT-6,,39,39,39,,0,,,,0,,7,39,1,UG/M3,Blair,Active,1731106800000,632835201,Permanent,-10702993.002533354,5093906.044161594
421119991,EPA Office of Atmospheric Protection,-5,2024-11-08 18:00:00 GMT-5,41,34,34,34,34,1,PPB,,,0,,,,0,,Laurel Hill,Active,1731106800000,632835202,Permanent,-8822225.492654042,4864169.567098335
320211017,Quality Review and Exchange System for Tribes (QREST),-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,1,,Walker River Paiute Tribe-NV,Active,1731106800000,632835203,Permanent,-13226358.506908324,4714784.00036332
840320030025,Clark County Department of Environment and Sustainability ,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,1,,,,0,,,,0,,Apex,Active,1731106800000,632835204,Permanent,-12788369.743992373,4356477.45121257
421174000,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,33,31,31,31,31,1,PPB,,,0,,5.2,23,1,UG/M3,Tioga County,Active,1731106800000,632835205,Permanent,-8564832.566041835,5107904.9219625695
320230011,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,10,10,10,,0,,11,10,1,UG/M3,,,0,,Linda,Active,1731106800000,632835206,Permanent,-12916619.816140397,4348802.3522505965
320230013,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,10,10,10,,0,,13,10,1,UG/M3,,,0,,Church,Active,1731106800000,632835207,Permanent,-12912644.931082638,4322609.743896169
421250005,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,38,33,33,33,33,1,PPB,,,0,,5.3,22,1,UG/M3,Charleroi,Active,1731106800000,632835208,Permanent,-8894794.668702176,4887312.406234139
320230014,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,0,,Manse,Active,1731106800000,632835209,Permanent,-12912482.293306593,4329940.17519771
320230015,Nevada Division of Environmental Protection,-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,0,,Glen Oaks,Active,1731106800000,632835212,Permanent,-12913905.17903791,4327275.166963491
84032005TRP1,Tahoe Regional Planning Agency,-8,2024-11-08 15:00:00 GMT-8,,67,67,67,,0,,,,0,,,67,1,,TRPA Office,Active,1731106800000,632835213,Permanent,-13350659.631439945,4716864.670924104
421255001,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,42,37,37,37,37,1,PPB,,,0,,2.8,18,1,UG/M3,Florence,Active,1731106800000,632835214,Permanent,-8952313.44959506,4930776.876157773
840320310031,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,33,49,49,49,30,1,PPB,28,28,1,UG/M3,4,49,1,UG/M3,Reno4,Active,1731106800000,632835216,Permanent,-13335567.82543412,4796709.988519465
421255200,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,16,16,16,,1,,,,0,,2.9,16,1,UG/M3,Houston,Active,1731106800000,632835217,Permanent,-8932721.219215443,4905109.972125938
320310020,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,35,26,26,26,26,1,PPB,,,0,,,,0,,South Reno,Active,1731106800000,632835218,Permanent,-13333335.758324225,4789108.643448949
840330012007,New Hampshire Dept. of Environmental Services,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,1,,,,0,,,,0,,Laconia Robbie Mills Field,Active,1731106800000,632835219,Permanent,-7959157.688169435,5398829.23172158
840330012008,New Hampshire Dept. of Environmental Services,-5,2024-11-08 18:00:00 GMT-5,,16,16,16,,0,,,,0,,2.5,16,1,UG/M3,Laconia Main St,Active,1731106800000,632835221,Permanent,-7955595.464464051,5392220.548326913
421290008,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,34,31,31,31,31,1,PPB,,,0,,3,16,1,UG/M3,Greensburg,Active,1731106800000,632835222,Permanent,-8850578.566959089,4910407.33297963
840340011006,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,13,13,13,,0,,,,0,,3.2,13,1,UG/M3,Atlantic City PM,Active,1731106800000,632835223,Permanent,-8285621.019234145,4773839.834002451
421330008,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,38,32,32,32,32,1,PPB,,,0,,2.6,15,1,UG/M3,York,Active,1731106800000,632835224,Permanent,-8538138.152149606,4860901.050587697
840340071007,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,16,16,16,,0,,,,0,,5,16,1,UG/M3,Pennsauken PM,Active,1731106800000,632835225,Permanent,-8354528.674591108,4864349.14879311
421330011,Pennsylvania Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,40,36,36,36,36,1,PPB,,,0,,,,0,,York DW,Active,1731106800000,632835226,Permanent,-8511699.773086203,4845734.685512158
840340170008,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,16,16,16,,0,,,,0,,3,16,1,UG/M3,Union City High School,Active,1731106800000,632835227,Permanent,-8241674.088019796,4978609.145585708
440030002,Rhode Island Dept. of Environmental Management,-5,2024-11-08 18:00:00 GMT-5,36,31,31,31,31,1,PPB,,,0,,5,20,1,UG/M3,W Greenwich,Active,1731106800000,632835228,Permanent,-7983800.483846342,5103481.643215053
840340210008,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,0,0,0,,0,,,,0,,0.1,0,1,UG/M3,Trenton,Active,1731106800000,632835229,Permanent,-8322597.680532474,4898316.730850504
440070022,Rhode Island Dept. of Environmental Management,-5,2024-11-08 18:00:00 GMT-5,,4,4,4,,0,,,,0,,2,4,1,UG/M3,CCRI Providence,Active,1731106800000,632835230,Permanent,-7949761.209951576,5132190.786553445
840340292002,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,0,0,0,,0,,,,0,,-4.5,0,1,UG/M3,Toms River,Active,1731106800000,632835231,Permanent,-8256616.391949484,4865202.351528131
840340310005,New Jersey Dept. of Environmental Protection,-5,2024-11-08 18:00:00 GMT-5,,21,21,21,,0,,,,0,,5.5,21,1,UG/M3,Paterson,Active,1731106800000,632835233,Permanent,-8256354.234548667,5000310.323679705
840350012022,Albuquerque Environmental Health Department,-7,2024-11-08 16:00:00 GMT-7,34,29,29,29,27,1,PPB,8,8,1,UG/M3,4.4,29,1,UG/M3,Mobile Trailer-San Jose,Active,1731106800000,632835234,Permanent,-11871945.728334116,4172523.2763678744
840350150010,National Park Service,-7,2024-11-08 16:00:00 GMT-7,,,ND,-999,,1,,,,0,,,,0,,Carlsbad Caverns - Biology Building,Active,1731106800000,632835236,Permanent,-11626574.97276911,3786711.7915665545
440071010,Rhode Island Dept. of Environmental Management,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,1,,,,0,,,,1,,E Providence,Active,1731106800000,632835237,Permanent,-7943948.328781332,5137087.395121847
320310025,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,33,28,28,28,26,1,PPB,22,20,1,UG/M3,5,28,1,UG/M3,Toll,Active,1731106800000,632835239,Permanent,-13329351.967707206,4779108.275816736
440090007,Rhode Island Dept. of Environmental Management,-5,2024-11-08 18:00:00 GMT-5,37,32,32,32,32,1,PPB,,,0,,3,17,1,UG/M3,Narragansett,Active,1731106800000,632835240,Permanent,-7950649.539488104,5085511.616834458
840360850055,New York Dept. of Environmental Conservation,-5,2024-11-08 18:00:00 GMT-5,,24,24,24,,0,,,,0,,6.1,24,1,UG/M3,Port Richmond,Active,1731106800000,632835241,Permanent,-8252910.454781488,4958367.831244849
840361030044,New York Dept. of Environmental Conservation,-5,2024-11-08 18:00:00 GMT-5,39,34,34,34,34,1,PPB,,,0,,,,0,,Flax Pond,Active,1731106800000,632835244,Permanent,-8141810.708663039,5006593.084712756
320311005,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,31,40,40,40,28,1,PPB,33,31,1,UG/M3,5,40,1,UG/M3,Sparks,Active,1731106800000,632835245,Permanent,-13330148.792622304,4799452.578600683
450030003,South Carolina DES,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,1,,,,0,,,,0,,Jackson,Active,1731106800000,632835246,Permanent,-9104664.970736261,3940814.008524997
840370510011,North Carolina DEQ - Division of Air Quality,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,1,,,,0,,,,0,,Wade School,Active,1731106800000,632835247,Permanent,-8761600.897968026,4184107.2863809066
320311007,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,38,55,55,55,35,1,PPB,19,19,1,UG/M3,11,55,1,UG/M3,Spanish Springs,Active,1731106800000,632835249,Permanent,-13327028.952573331,4811085.684820032
840371190047,Mecklenburg County Air Quality,-5,2024-11-08 18:00:00 GMT-5,,26,26,26,,0,,36,26,1,UG/M3,,,0,,Ramblewood Park,Active,1731106800000,632835251,Permanent,-9006590.272957573,4180738.782174092
840371190048,Mecklenburg County Air Quality,-5,2024-11-08 18:00:00 GMT-5,,52,52,52,,0,,,,0,,9,52,1,UG/M3,Friendship Park,Active,1731106800000,632835253,Permanent,-9000344.804246105,4202241.660094845
840380250004,North Dakota Department of Environmental Quality,-7,2024-11-08 16:00:00 GMT-7,32,28,28,28,28,1,PPB,13,11,1,UG/M3,2.5,14,1,UG/M3,Lake Ilo,Active,1731106800000,632835256,Permanent,-11426500.118007887,5998173.70054492
450190046,South Carolina DES,-5,2024-11-08 18:00:00 GMT-5,16,25,25,25,18,1,PPB,,,0,,4.5,25,1,UG/M3,Cape Romain,Active,1731106800000,632835257,Permanent,-8867376.455480812,3887475.5814080182
840390090003,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,15,15,15,,0,,,,0,,2.7,15,1,UG/M3,Gifford,Active,1731106800000,632835258,Permanent,-9118048.913114337,4785207.280621294
840390170015,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,19,19,19,,0,,8,7,1,UG/M3,3.3,19,1,UG/M3,Ohio Bell,Active,1731106800000,632835260,Permanent,-9391328.578216126,4792208.756393673
320311026,Quality Review and Exchange System for Tribes (QREST),-8,2024-11-08 15:00:00 GMT-8,,,ND,-999,,0,,,,1,,,,0,,Wadsworth-NV,Active,1731106800000,632835262,Permanent,-13279179.605289733,4813288.111837539
840390170022,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,20,20,20,,0,,,,0,,3.7,20,1,UG/M3,BPG,Active,1731106800000,632835263,Permanent,-9395043.532262878,4790473.036626523
840390490040,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,38,38,38,,0,,53,38,1,UG/M3,6.7,32,1,UG/M3,Jackson Pike WWTP,Active,1731106800000,632835265,Permanent,-9240807.92874,4853236.604326643
320312002,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,48,41,41,41,41,1,PPB,,,0,,,,0,,Incline,Active,1731106800000,632835266,Permanent,-13353523.325340603,4757608.275551114
450250001,South Carolina DES,-5,2024-11-08 18:00:00 GMT-5,,34,34,34,,0,,,,0,,6.1,34,1,UG/M3,Chesterfield,Active,1731106800000,632835267,Permanent,-8927700.487541687,4111723.933566753
840390610014,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,39,39,39,,0,,,,0,,10.7,39,1,UG/M3,Carthage,Active,1731106800000,632835268,Permanent,-9404156.368418198,4749546.171520783
320312009,Northern Nevada Public Health Air Quality Management Division,-8,2024-11-08 15:00:00 GMT-8,41,34,34,34,34,1,PPB,,,0,,,,0,,Lemmon Valley,Active,1731106800000,632835269,Permanent,-13340533.453959934,4814529.593717795
840390610042,Ohio EPA-DAPC,-5,2024-11-08 18:00:00 GMT-5,,20,20,20,,0,,,,0,,4.1,20,1,UG/M3,Lower Price Hill,Active,1731106800000,632835271,Permanent,-9412193.190375509,4736711.624763202
320330101,National Park Service,-8,2024-11-08 15:00:00 GMT-8,34,31,31,31,31,1,PPB,,,0,,,,0,,Great Basin NP,Active,1731106800000,632835272,Permanent,-12714444.696546376,4722430.780540682
450310003,South Carolina DES,-5,2024-11-08 18:00:00 GMT-5,,,ND,-999,,1,,,,0,,,,0,,Pee Dee,Active,1731106800000,632835273,Permanent,-8877139.174823381,4067215.766517145
320GT1010001,U.S. Department of State Guatemala - Guatemala City,-6,2024-11-08 17:00:00 GMT-6,,,ND,-999,,1,,,,1,,,,1,,Guatemala City,Active,1731106800000,632835275,Permanent,-10076908.363940954,1687978.2121339538
